실험,브랜치,결과,prior_mode,lam_gamma,b_bound,b_min,b_max,run_tag,mse_ls,mse_lq,auc_ls,auc_lq,auc_prior_ls,auc_prior_lq,auc_zprior_ls,auc_zprior_lq,auc_zprior_ls_wavg,auc_zprior_lq_wavg,gain_ls,gain_lq,gain_ls_wavg,gain_lq_wavg,auc_ls_wavg,auc_lq_wavg,auc_prior_ls_wavg,auc_prior_lq_wavg,auc_ls_niigata2004,auc_prior_ls_niigata2004,n_ls,n_lq,n,a_LS,b_LS,a_LQ,b_LQ,gamma_ls_max,gamma_lq_max,sum_gamma2,frac_middle,c_LS,c_LQ
F c 크게,followup3-area-avg-a1-c2,followup3-area-avg-a1-c2,area-a1-c2,0.1,,,,,0.1444050016653666,0.4896129454326666,0.8304761904761905,0.8087155963302752,0.7485714285714286,0.7485474006116207,0.8295238095238096,0.8079510703363915,0.8679358459478941,0.7686894582468381,0.0009523809523809,0.0007645259938837,-0.0021419009370815,-0.0005620977487985,0.8657939450108125,0.7681273604980395,0.7968643805993205,0.715445570663787,0.9375,0.875,125,229,278,1.0,0.0,1.0,0.0,0.0836216047429303,0.0182925816749429,0.012393790153605,0.0406698564593301,2.0,2.0
F c 크게,followup3-area-avg-a1-c2,followup3-area-avg-a1-c2,area-a1-c2,1.0,,,,,0.1443867204333553,0.4896133365160381,0.8300000000000001,0.8087155963302752,0.7485714285714286,0.7485474006116207,0.8295238095238096,0.8079510703363915,0.8679358459478941,0.7686894582468381,0.0004761904761905,0.0007645259938837,-0.0021419009370815,-0.0005620977487985,0.8657939450108125,0.7681273604980395,0.7968643805993205,0.715445570663787,0.9375,0.875,125,229,278,1.0,0.0,1.0,0.0,0.0777733749311541,0.0181230598590845,0.0110516551349702,0.0406698564593301,2.0,2.0
F c 크게,followup3-area-avg-a1-c2,followup3-area-avg-a1-c2,area-a1-c2,10.0,,,,,0.1442996419327227,0.4896167745585785,0.829047619047619,0.8087155963302752,0.7485714285714286,0.7485474006116207,0.8295238095238096,0.8079510703363915,0.8679358459478941,0.7686894582468381,-0.0004761904761905,0.0007645259938837,-0.0021419009370815,-0.0005620977487985,0.8657939450108125,0.7681273604980395,0.7968643805993205,0.715445570663787,0.9375,0.875,125,229,278,1.0,0.0,1.0,0.0,0.048491056297556,0.016605978491103,0.0055036250773693,0.0418660287081339,2.0,2.0
F c 크게,followup3-area-avg-a1-c2,followup3-area-avg-a1-c2,[베이스라인] 전부 0.5,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,125,229,278,,,,,,,,,,
F c 크게,followup3-area-avg-a1-c2,followup3-area-avg-a1-c2,[베이스라인] 전부 기저확률,,,,,,0.1344,0.2494231612669476,,,,,,,,,,,,,,,,,,,125,229,278,,,,,,,,,,
G LQ c=0.5,followup3-area-avg-lq-c05,followup3-area-avg-lq-c05,area-lq-c05,0.0,,,,,0.1594249402694273,0.2300322532483867,0.7352380952380951,0.82217125382263,0.7485714285714286,0.7485474006116207,0.8409523809523809,0.7978593272171254,0.8399598393574298,0.7570032442862361,-0.1057142857142857,0.0243119266055046,-0.0606168262794769,0.0466815352353436,0.7793430130779528,0.8036847795215798,0.7968643805993205,0.715445570663787,1.0,0.875,125,229,278,1.0,0.0,1.0,0.0,2.8502592383511605,4.624462997042715,74.95421131429845,0.2834928229665072,1.0,0.5
G LQ c=0.5,followup3-area-avg-lq-c05,followup3-area-avg-lq-c05,area-lq-c05,0.1,,,,,0.1594489143682559,0.2304406582024139,0.7366666666666667,0.8220183486238533,0.7485714285714286,0.7485474006116207,0.8409523809523809,0.7978593272171254,0.8399598393574298,0.7570032442862361,-0.1042857142857142,0.0241590214067278,-0.0606168262794769,0.0434795014067113,0.7793430130779528,0.8004827456929474,0.7968643805993205,0.715445570663787,1.0,0.875,125,229,278,1.0,0.0,1.0,0.0,2.806413409585893,4.409118601268722,69.83747446509544,0.2858851674641148,1.0,0.5
G LQ c=0.5,followup3-area-avg-lq-c05,followup3-area-avg-lq-c05,area-lq-c05,1.0,,,,,0.1503279530895228,0.2300367097450482,0.7571428571428571,0.821559633027523,0.7485714285714286,0.7485474006116207,0.8409523809523809,0.7978593272171254,0.8399598393574298,0.7570032442862361,-0.0838095238095237,0.0237003058103976,-0.0443826588404902,0.0334501418269845,0.7955771805169396,0.7904533861132207,0.7968643805993205,0.715445570663787,1.0,0.875,125,229,278,1.0,0.0,1.0,0.0,2.308032993285294,3.4770701967930004,45.68823559888787,0.3086124401913875,1.0,0.5
G LQ c=0.5,followup3-area-avg-lq-c05,followup3-area-avg-lq-c05,area-lq-c05,10.0,,,,,0.0994073025277471,0.1929188856756437,0.8433333333333333,0.8171253822629969,0.7485714285714286,0.7485474006116207,0.8409523809523809,0.7978593272171254,0.8399598393574298,0.7570032442862361,0.0023809523809523,0.0192660550458715,0.0150602409638553,0.0334977613481861,0.8550200803212852,0.7905010056344223,0.7968643805993205,0.715445570663787,1.0,0.875,125,229,278,1.0,0.0,1.0,0.0,0.5831184438818396,0.5869509309563039,1.9559830654925705,0.5478468899521531,1.0,0.5
G LQ c=0.5,followup3-area-avg-lq-c05,followup3-area-avg-lq-c05,[베이스라인] 전부 0.5,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,125,229,278,,,,,,,,,,
G LQ c=0.5,followup3-area-avg-lq-c05,followup3-area-avg-lq-c05,[베이스라인] 전부 기저확률,,,,,,0.1344,0.2494231612669476,,,,,,,,,,,,,,,,,,,125,229,278,,,,,,,,,,
